Ttle,Year,Reference,Database,Input,Mitigation technique,N participants,Results,Comments,Usefulness in MicroVRide
Cybersickness Reduction via Gaze-Contingent Image Deformation,2024,Groth2024,ACM,Controller (seated),Visual Blurring,,Significant,"Used eye-tracking. wherever the user looked remained clear, and the periphery was attenuated","Not applicable, we won't use eye tracking"
Don’t Block the Ground: Reducing Discomfort in Virtual Reality with an Asymmetric Field-of-View Restrictor,2021,Wu2021,ACM,Controller (standing),FOV-Restriction,41,Significant,They used a fov reduction that let the ground visible. ,"Useful, consider which is better, ground visible or not, or what parts of the game should be visible? think about that and not copy exactly what they did. Maybe a fov reduction that hides more the buildings and less the street. This author has many works on fov reduction worth mentioning"
Dynamic Field of View Restriction in 360° Video: Aligning Optical Flow and Visual SLAM to Mitigate VIMS,2021,Bala2021,ACM,None,FOV-Restriction,23,Significant,"The had a dynamic FOV reduction based on optical flow, not as interesting as those from Wu. ","Used Google Daydream Elements to implement the tunneling, see text highlighted in blue in the paper"
"Evaluating enjoyment, presence, and emulator sickness in VR games based on first- and third- person viewing perspectives",2018,Monteiro2018,,,Environmental-Modification,,,They compared playing in first person and third person,Directly not useful. With this technique it would be difficult to analyse learning transfer. Don't even consider. 
Evaluating Performance and Gameplay of Virtual Reality Sickness Techniques in a First-Person Shooter Game,2021,Monteiro2021,IEEE,,Adaptive-System,,,They compared teleportation technique with a 2D view (like playing in 3rd person),Not applicable to our study. 
ExciteVR: Effective Cybersickness Mitigation in Virtual Reality using Explainable Artificial Intelligence and Large Language Models,2025,Kundu2025,IEEE,None,MIXED,30,Significant,They used chatgpt to talk to the users and predict which technique works better. They had 3 techniques to choose. The context was a rollercoaster,"Useful in the sense of considering dynamic FOV, dynamic Gaussian Blur an foveated Depth of Field blur, all of them implemented in GingerVR."
Exploring the feasibility of mitigating VR-HMD induced cybersickness using cathodal transcranial direct current stimulation.,2020,Li2020,IEEE,,Electrical-Stimulation,,,,Not even applicable
HeadWind: Enhancing Teleportation Experience in VR by Simulating Air Drag during Rapid Motion,2022,Tseng2022,ACM,Controller (standing),Haptic-Feedback,24,Significant,They built a custom system to provide wind that was mounted on the headset and had an air tank,"Useful. I'm not going to build a custom system with an air tank, but their idea of having wind from different directions could be very useful. I should also somehow mount the wind system on the user or add a fram that fixes on the wall to simulate that. Quizá un perchero o un palo con los 3 ventiladores?"
How Long Does It Take to Alleviate Discomfort? A Preliminary Study on Reducing Cybersickness in Novice Users,2025,Zhang2025,IEEE,,Adaptation-Training,24,Significant,They evaluated the prolonged effects of using locomotion tunneling (reduce fov when travelling) and they diminished a lot after 4 sessions,"Useful? Not sure. Applying the reduction of fov ONLY when travellig is not useful, because I felt cybersick even when the vehicle was moving very very slow. Could be useful to consider training/adaptation"
I think I don’t feel sick: Exploring the Relationship Between Cognitive Demand and Cybersickness in Virtual Reality using fNIRS,2023,Pholmann2023,ACM,,Adaptive-System,,,the user was in a roller coaster while doing some cognitive tasks. ,"Useless because the cognitive load of the user is to ride, they wont be seated in a rollercoaster doing nothing like in this paper. "
I Want to Break Free: Enabling User-Applied Active Locomotion in In-Car VR through Contextual Cues,2025,Gim2025,ACM,Controller (seated),Predictive-Information,20,Significant,In car users using VR. they tested several ways to represent the car turning into events in VR,"Useful. Representing cues in VR of what is happening in the outside world actually works. I could consider showing the model of the vehicle turning. It could be in the center of the view or down in their feet, i think its better in their feet because most users naturally look to them. "
Influence of Dynamic Field of View Restrictions on Rotation Gain Perception in Virtual Environments,2020,Brument2020,Scopus,,MIXED,,,the paper itself researches the combination of rotational gain and FOV reduction,"Useful. per se the paper is not useful, but makes me think if rotational gains are a thing I could apply. should do more research on this. "
Investigating the Impact of Odors and Visual Congruence on Motion Sickness in Virtual Reality,2024,Rachl2024,ACM,,Pharmacologicall-Intervention,,,They tested if smelling rose/galic in an environment with roses/garlic helped with cs. only smelling roses when watching roses seemed to work,"not useful, but worth mentioning. this one also demonstrates that to avoid cs, stimuli in vr should match those in real life, and not only visually, but in the smelling as well. all senses take a part in cs, and the more cues from reality they have in vr, the less cs they will have. this argument is good for the prediction-information technique if I decide to talk about it, because it is another argument to why we should have more information from the outside in VR"
Manipulating the Orientation of Planar 2D Content in VR as an Implicit Visual Cue for Mitigating Passenger Motion Sickness,2023,Qiu2023,,,Predictive-Information,,,another paper with the user doing math and spinning,totally useless
Mitigating Cyber and Motion Sickness with Haptic and Visual Feedback for VR Users in Autonomous Vehicle,2025,Shin2025,ACM,None,Environmental-Modification,12,Significant,"passive VR in a car, user had visual and haptic feedback. which is useful for me is the visual one, that they did with particle system appearing in the same direction as the vehicle turning. However, cybersickness was only reduced when combining the haptic and the visual feedback","Useful! the tilting I cannot reproduce it, but the idea of having a linear flow might actually work for me. for example, when turning, add flow of the wind visually, like speed lines when drawing. Important I should also consider presence and comfort questionnaires in my thesis. refer to this paper for reference on that. "
Mitigating Cybersickness in Virtual Reality Systems through Foveated Depth-of-Field Blur,2021,Hussain2021,,,Visual Blurring,,,they blur the things that are close or far simulating how the real eye works. use eye tracking,not useful because we would need eyetracking and also because this paper is too focused on objects and bluring the background
Mitigation of VR Sickness During Locomotion With a Motion-Based Dynamic Vision Modulator,2023,Zhao2023,IEEE,,Visual Blurring,34,Significant,"Not exactly bluring, it was a low-contrast shader around the edges that was dinamically adjusted according to motion. the performance of their approach was similar to the typical black FOV restrictor",Useful for the part of having low contrast instead of blur.
Peripheral Teleportation: A Rest Frame Design to Mitigate Cybersickness During Virtual Locomotion,2025,Nie2025,IEEE,Controller (standing),FOV-Restriction,90,Significant,Used 2 cameras to use an image of the surroundings instead of black background FOV restriction. It is basically FOV restriction but with an interpolated image of the surroundings instead of a black background. they also used the dinamic fov restrictor that moves toward the direction of rotation. they call this a rest frame but for me it is more a fov restrictor.,"Useful if I consider to do a FOV restrictor. I could dinamically updat the position of the cameras based on the position of the users and get a picture from both of them as in the paper. I should not update the image too frequently or it could create more dizziness. I like this idea more than blurring and than reducing contrast, even though I should also test it with a traditional technique like basic blurring or basic fov restriction"
Pleasant Locomotion – Towards Reducing Cybersickness using fNIRS during Walking Events in VR,2020,Yamamura2020,ACM,,Pharmacologicall-Intervention,,,They use physiological informatio (fNIRS) to adapt a dynamic FOV restrictor,Not useful
Real-Time Viewport-Aware Optical Flow Estimation in 360-degree Videos for Visually-Induced Motion Sickness Mitigation,2023,Cao2023,ACM,None,Visual-Reference,18,Significant,The main paper is about calculating the optical flow. then they apply granulated rest frames when the optical flow is very high,"Useful mentioning that some resting frames are granulated. Useful for referencing, useless for implemening. "
Redirected Tilting: Eliciting Postural Changes with a Rotational Self-Motion Illusion,2021,Nie2021,IEEE,,Motion-Synchronization,,,"This paper is about tilting the world, to lead users to tilt their bodies when in a curve, this way helping with balance and reducing CS",Useless because users are already tilting their body in our simulator and they cannot tilt it more otherwise they would lose balance.
Reducing VR Motion Sickness Through Dynamic Peripheral Dots Responsive to User Movement,2025,Han2025,IEEE,,Visual-Reference,24,,"Points on the edge of the screen as restframes, the points move in the opposite direction to where the user is watching. ","Not very useful, even though it reduced CS, they mention this approach increased mental demand and effort. However, it gives me the idea of putting a compass at the top of the screen as in video games to see if that helps. the theory would be that it works as a visual reference and would be similar to this paper. "
Reducing VR Sickness by Directing User Gaze to Motion Singularity Point/Region as Effective Rest Frame,2023,Park2023,IEEE,None,Visual-Reference,33,Significant,"Instead of a virtual nose as a resting frame, they calculated the point of the screen with less motion an used that as a resting frame. ","Useless, because in this paper the user was seated and they did not controll anything from the locomotion. i cannot have my users stop riding and watching a particular point of the screen. besides, the calculation they do for the motion singularity point is too complex."
"Shaken, not stirred: Effects of Minimal Rotational Motion Cues on Cybersickness in a VR Flying Experience",2024,Schnitzer2024,ACM,Lean passive ?,Haptic-Feedback,43,Not Significant,"In a flying experience, they tested the movements of the chair matching the movements in VR","Not useful because not significant and not applicable because it was a passive seated input, very far from our input."
Mixing in Reverse Optical Flow to Mitigate Vection and Simulation Sickness in Virtual Reality,2022,Park2022,ACM,,Visual-Reference,50,,they added lines to objects in the opposite direction of the motion flow,"Useful, makes me think how this could be applied in my simulator in general. I wonder if having lines next to the user indicating the motion would help. like a line being drawn forward when you go forward, or being drawn to the right/left when you turn, and being more intense with more speed."
Sickness Reduction in FPV Drone Control: Improved Effects of Reverse Optical Flow with Static Landmarks Only,2023,Ryu2023,ACM,,Visual-Reference,,,"Same as paper above, but instead of making the opposite flow in all objects of the screen, make it in those which are stationary, like buildings",same as previous paper
Simulation Sickness Related to Virtual Reality Driving Simulation,2017,IhemeduSteinke2017,ACM,Steering wheel,Environmental-Modification,72,Significant,They tested if CS was reduced when adding more VA (virtual assets) to the driving simulation. ,"Useful because they use a driving simulator with a city similar to ours. They mention adding more assets to the scene reduces CS, is that the opposite of what other papers mention? Not sure. Could be interesting to investigate this technique."
Software Techniques to Reduce Cybersickness Among Users of Immersive Virtual Reality Environments,2019,Choros2019,ACM,,MIXED,,,This paper tested several CS techniques,"NOt very useful because it doesnt discuss enough about the results. I should mention  this as an example of work that tested several techniques but that does not focus on micromobility and that the discussion of its results is limited and with outdated techniques. ALSO it tests different techniques, could be good for referencing other techniques if needed, like the virtual nose. "
SYNC-VR: Synchronizing Your Senses to Conquer Motion Sickness for Enriching In-Vehicle Virtual Reality,2024,Elsharkawy2024_2,ACM,Controller (seated),MIXED,24,Significant,"Tested visual cues, interaction and electrostimulation on a passenger in VR seated in a real car","Useful for the referencing of the VR visual cues matching the physical movement, but I have already noted similar papers."
The Effects of False but Stable Heart Rate Feedback on Cybersickness and User Experience in Virtual Reality,2024,Joo2024,ACM,Seated (controller),Haptic-Feedback,,,This paper gave haptic feedback on the feet that resembled heart palpitations,I don't think I want to implement this. 
VRCockpit: Mitigating Simulator Sickness in VR Games Using Multiple Egocentric 2D View Frames,2022,Chen2022,IEEE,,Environmental-Modification,18,Significant,"The surround the player with 4 frames of each cardinal direction, as if they were 4 TVs of the view in that direction","Useful!! Many people said it wouldn't cause CS if the simulation was with a TV and not with VR. This paper basically does that, surrounds the user with 4 TVs. These TVs don't occupy the whole view, they're about 30% of the original size and still works. I think this technique could be good."
Visual Vestibular Conflict Mitigation in Virtual Reality Using Galvanic Vestibular Stimulation,2022,Pradhan2022,Scopus,,Electrical-Stimulation,,,Galvanic electrical stimulation,I'm not going to use this
Visually Induced Motion Sickness Susceptibility and Recovery Based on Four Mitigation Techniques,2020,Jasper2020,WoS,Controller (seated),Physical-Therapy,57,,"this paper tests 4 mitigation techniques AFTER the moving through a maze in VR. They test 1. resting in real world, 2 resting in vr, 3 sorting pegs in real world, 4 sorting pegs in VR. The conclusion is that 1 and 2 are the most effective",This paper is worth mentioning as a paper that compares 4 mitigation techniques but that more research is needed because in this paper the mittigation techniques were applied after the VR scene and not during the experience.
Reducing Virtual Reality Sickness for Cyclists in VR Bicycle Simulators,2022,Matviienko2022,ACM,Mixed,Haptic-Feedback,,Significant,"they tested airflow, head vibration and dynamic FOV","The paper also mentions as future work using a frame of reference or galvanic stimulation. I'm thinking that it would be interesting to combine techniqes, like airflow + FOV, or could I use the airflow as a baseline and have it always on? there s already a lot of research saying airflow works, why not combine those?"
